STATION_ID,LNG,LAT,STATION_NAME
34598,113.621532,34.730723,"嵩山路淮河路
"
34599,113.622272,34.738223,"嵩山路陇海路
"
34600,113.622025,34.743493,"嵩山路伊河路
"
34601,113.622025,34.749573,"绿城广场
"
34602,113.6222167,34.7531,"碧沙岗公园西门
"
34603,113.623505,34.759707,"嵩山路棉纺路
"
34604,113.625725,34.765991,"嵩山路西站路
"
34605,113.622518,34.771868,"嵩山北路朱屯村
"
34606,113.620792,34.775314,"嵩山北路农业路
"
34607,113.62646399999998,34.782003,"农业路沙口路
"
29091,113.56251670000002,34.88733333,江山路绿环路(河南省旧货交易中心） 
29092,113.5580667,34.89201667,江山路惠民街                      
29094,113.5487,34.90118333,大彭村                            
29095,113.5444167,34.90776667,丰乐农庄.丰乐葵园                 
29671,113.539616,34.912083,江山路大观路                      
35805,113.538083,34.916366,江山路孙庄                        
35813,113.53593329999998,34.92178333,江山路孙庄北（百汇地动漫谷）      
35806,113.5343333,34.92526667,江山路连庄                        
35807,113.52996,34.932216,江山路韩垌                        
29100,113.52885,34.93741667,江山路于庄                        
35808,113.5259333,34.94383333,江山路黄浮路                      
35809,113.5220333,34.94668333,黄河新村                          
29103,113.5163333,34.94828333,黄河风景名胜区                    
29680,113.513022,34.951187,黄河风景名胜区                    
30986,113.666698,34.666791,南四环小李庄
30987,113.676469,34.666037,南四环G107
30988,113.683206,34.673162,G107站马屯南
30989,113.686,34.677651000000004,G107站马屯
31172,113.65965,34.81105,北三环文化路
35580,113.7621667,34.75501667,东风南路商鼎路
33533,113.113,34.34,大学路高速路
33534,113.113,34.34,嵩山南路
34018,113.113,34.34,福田太阳城
34019,113.113,34.34,郑密路
34020,113.113,34.34,航海西路
34021,113.113,34.34,颍河路
34302,113.63808,34.753853,大学路
34303,113.635492,34.755098,建设路
34304,113.622273,34.756556,嵩山路
33532,113.113,34.34,工学院南区
34305,113.624862,34.768601000000004,朱屯路
34306,113.5897,34.789288,西三环
34307,113.590051,34.806740000000005,科学大道
34308,113.535191,34.809137,长椿路
34309,113.535468,34.818191,郑大东大门
30805,113.672816,34.795666600000004,科源路科新路
30804,113.66915,34.79536666,科源路科明路
30803,113.66503333,34.79516666,科源路文博西路
32451,113.6875666,34.810433333,北三环经三路站
32740,113.69478333333001,34.787883333333,报业大厦
33463,113.840669,34.553901,Z11路上行开始
33464,113.827587,34.544416,Z111路上行结束
32663,113.861483333,34.571083333333,郑港六街郑港六路
32664,113.8618,34.57156666666,郑港六路郑港六街
34226,113.625971,34.746377,绿城广场
34227,113.626784,34.746711,兴华北街
34228,113.626803,34.74864,中原路
34229,113.659432,34.753623,二七广场
34230,113.661595,34.754124,人民路
34231,113.675386,34.764514,紫荆山
34232,113.676773,34.764773,金水路
34233,113.748816,34.766535,农业南路
34234,113.747966,34.769983,正光路
34235,113.752625,34.771153000000005,众旺路
30598,113.58256666,34.7609,建设路西三环
30597,113.58263329999998,34.76045,建设路西三环
31900,113.81858,34.795359999999995,省警察学院
33476,113.810775,34.580501,枣福公寓
33477,113.859599,34.556985,富士康KL区
33542,113.785764,34.773610999999995,市检察院
33543,113.774756,34.774746,文苑南路
32762,113.6591667,34.80491667,河南财经政法大学
32763,113.65955,34.8018,文化路东风路
36003,113.744284,34.778575,农业路龙湖外环
36004,113.70384,34.787443,龙湖外环路农业路
36005,113.69645,34.809224,中州大道北三环
36006,113.675222,34.810775,北三环花园路
36007,113.641759,34.811854,北三环丰庆路
36008,113.618067,34.814248,北三环南阳路
36009,113.600535,34.808584,北三环电厂路
36010,113.597291,34.787611,电厂路五龙口路
36011,113.597291,34.76438,秦岭路棉纺路
36012,113.597374,34.7486,秦岭路中原路
36013,113.597497,34.736799,秦岭路卧龙花园
36014,113.5936166666667,34.75063333333333,华山路公交站
36015,113.595567,34.750118,华山路公交站
36016,113.597374,34.736833000000004,卧龙花园
36017,113.59741499999998,34.7486,秦岭路中原路
36018,113.597332,34.76438,秦岭路棉纺路
36019,113.59725,34.787443,秦岭路五龙口路
36020,113.600576,34.808617,北三环电厂路
36021,113.61815,34.81397800000001,北三环南阳路
36022,113.6418,34.811753,北三环丰庆路
36023,113.675222,34.810775,北三环花园路
36024,113.696368,34.809191,中州大道北三环
35192,113.530061,34.825618,郑州大学新校区北门
35193,113.535027,34.81836,郑州大学新校区东门
35194,113.53515,34.808891,科学大道长椿路
35195,113.544217,34.808789000000004,石楠路公交站
35196,113.54983,34.808916,科学大道石楠路
35197,113.562259,34.808865000000004,科学大道瑞达路
35198,113.576662,34.808916,科学大道石佛村
35199,113.58832,34.807068,科学大道西三环
35200,113.598652,34.807903,北三环电厂路
35201,113.607905,34.811473,北三环沙口路
35202,113.619532,34.81355,北三环南阳路
35203,113.631899,34.81279,北三环索凌路
35204,113.641768,34.811727000000005,北三环丰庆路
35205,113.641799,34.800687,丰庆路东风路
35206,113.643557,34.79537,丰庆路双铺路
35207,113.648122,34.788609,丰庆路农业路
35208,113.6521,34.78828,农业路东三街
35209,113.652193,34.784786,东三街丰产路
35210,113.652254,34.780988,东三街红专路
35211,113.654166,34.780962,郑州大学北区
36256,113.758933,34.77275,正光路东风南路	
36257,113.762867,34.773683,正光路陈庄街	
36258,113.7624,34.773383,正光路陈庄街	
36259,113.7664,34.774133,正光路中兴路	
36260,113.767433,34.7741,正光路中兴路	
36261,113.769617,34.7726,中兴路金水东路	
36262,113.769967,34.772633,中兴路金水东路	
36263,113.76965,34.7695,中兴路祥盛路	
36264,113.769833,34.769366999999995,中兴路祥盛路	
36265,113.77595,34.7617,郑州高铁汽车枢纽站	
36266,113.775817,34.761683000000005,郑州高铁汽车枢纽站	
30592,113.67501666,34.764283299999995,紫荆山人民路
30591,113.69245,34.80865,福彩路北三环
30590,113.68815,34.809716666,北三环经三路
30594,113.635269,34.748622999999995,中原路大学路西
30593,113.659434,34.753703,二七广场解放路
30596,113.6238,34.74871666,绿城广场
30595,113.6290307,34.74821203,中原路兴华街
32450,113.686533,34.80965,经三路北三环
32997,113.113,34.34,紫荆山
32998,113.113,34.34,紫荆山花园路
32999,113.113,34.34,纬二路花园路
33000,113.113,34.34,纬二路政五街
33001,113.113,34.34,纬二路经四路
33002,113.113,34.34,纬二路经三路
33003,113.675855,34.766081,紫荆山花园路
33004,113.676937,34.768705,纬二路花园路
30479,113.799037,34.785933,河南中医药大学
30480,113.793496,34.785876,龙子湖南路博学路
30481,113.788832,34.787128,华北水利水电大学
30482,113.78807,34.793066,龙子湖西路平安大道
