DAY,COUNTS
0,42.9
1,46.5
2,43.3
3,41.8
4,42.2
5,41.6
6,41.2
7,41.8
8,44.8
9,40.5
10,39.1
11,36.2
12,31.9
13,25.8
14,18.4
15,8.7
16,9.7
17,12.1
18,15.1
19,17.1
20,21.1
21,27.0
22,33.6
23,35.9
24,35.3
25,39.1
26,36.8
27,35.8
28,38.0
29,42.5
30,41.0
31,42.6
32,42.7
33,46.6
34,41.2
35,42.4
36,48.0
37,53.3
38,51.7
39,40.3
40,36.9
41,38.9
42,40.2
43,49.9
44,56.9
45,51.6
46,41.1
47,40.5
48,39.0
49,40.7
50,50.5
51,53.3
52,48.2
53,41.7
54,40.3
55,42.5
56,39.3
57,48.6
58,51.5
59,44.7
60,39.5
61,40.0
62,39.6
63,41.4
64,51.5
65,54.2
66,47.2
67,41.6
68,41.1
69,37.8
70,39.6
71,48.8
72,53.2
73,54.2
74,42.6
75,40.5
76,38.3
77,45.9
78,57.4
79,54.9
80,45.7
81,47.9
82,43.1
83,40.4
84,47.3
85,46.7
86,47.2
87,38.9
88,40.2
89,41.0
90,42.8
91,51.2
92,51.9
93,42.6
94,42.9
95,41.0
96,40.1
97,42.8
98,50.1
99,52.8
100,51.1
101,40.8
102,38.2
103,40.3
104,44.4
105,60.4
106,53.1
107,44.8
108,56.0
109,44.0
110,36.4
111,40.0
112,45.1
113,46.8
114,44.8
115,40.1
116,38.6
117,37.7
118,38.5
119,47.2
120,47.5
121,46.6
122,39.6
123,36.1
124,37.3
125,37.4
126,46.9
127,50.5
128,49.6
129,38.8
130,38.9
131,37.9
132,38.5
133,42.8
134,52.4
135,44.7
136,37.7
137,50.3
138,40.4
139,38.1
140,41.9
141,42.1
142,38.4
143,36.4
144,41.8
145,40.7
146,38.8
147,47.2
148,46.9
149,44.5
150,42.1
151,40.3
152,40.6
153,41.1
154,48.1
155,46.2
156,43.9
157,42.6
158,41.2
159,40.5
160,40.4
161,46.1
162,41.6
163,41.5
164,45.7
165,44.3
166,44.6
167,44.3
168,46.9
169,41.0
170,38.9
171,42.9
172,40.8
173,41.6
174,40.4
175,44.8
176,39.6
177,40.9
178,41.8
179,39.3
180,39.0
