DAY,COUNTS
0,2.5
1,3.6
2,4.1
3,5.3
4,3.4
5,3.1
6,3.2
7,3.0
8,3.2
9,3.4
10,3.6
11,3.1
12,2.8
13,2.8
14,2.9
15,1.8
16,2.6
17,2.6
18,3.7
19,3.9
20,3.8
21,3.8
22,4.2
23,4.7
24,5.7
25,4.1
26,3.6
27,3.4
28,3.9
29,4.4
30,5.7
31,6.8
32,4.7
33,4.5
34,4.4
35,4.5
36,5.2
37,7.1
38,7.4
39,4.6
40,4.1
41,4.3
42,4.6
43,5.4
44,7.3
45,7.3
46,4.8
47,4.6
48,4.4
49,4.7
50,6.5
51,6.9
52,7.0
53,5.0
54,4.7
55,5.1
56,4.8
57,5.8
58,6.9
59,6.4
60,4.8
61,4.7
62,4.7
63,4.8
64,6.9
65,7.3
66,6.8
67,5.1
68,4.9
69,4.4
70,4.7
71,5.7
72,7.0
73,7.5
74,5.2
75,4.9
76,4.5
77,5.5
78,7.4
79,7.2
80,6.4
81,6.9
82,5.5
83,4.9
84,5.6
85,6.2
86,6.3
87,4.6
88,4.8
89,4.9
90,5.0
91,5.9
92,6.8
93,6.0
94,5.2
95,5.0
96,5.0
97,5.1
98,5.7
99,6.5
100,7.1
101,5.1
102,4.7
103,4.9
104,5.5
105,7.3
106,7.4
107,6.6
108,8.4
109,6.1
110,4.5
111,5.0
112,5.6
113,6.8
114,6.8
115,5.3
116,4.9
117,4.8
118,4.8
119,5.8
120,6.6
121,6.9
122,5.0
123,4.5
124,4.7
125,4.7
126,5.9
127,6.6
128,6.9
129,5.1
130,4.8
131,4.7
132,4.9
133,5.4
134,6.6
135,6.3
136,5.4
137,7.7
138,5.6
139,4.9
140,5.3
141,5.8
142,6.0
143,4.3
144,5.3
145,5.2
146,4.8
147,5.9
148,6.3
149,6.8
150,5.7
151,5.4
152,5.4
153,5.3
154,5.9
155,6.2
156,6.6
157,5.6
158,5.3
159,5.5
160,5.3
161,5.8
162,6.1
163,6.3
164,5.8
165,5.5
166,5.5
167,6.0
168,5.9
169,5.6
170,6.0
171,5.4
172,5.3
173,5.5
174,5.3
175,5.7
176,5.8
177,6.3
178,5.6
179,5.1
180,5.0
181,5.0
182,5.1
183,5.4
184,5.9
185,5.4
186,5.0
187,5.0
188,4.9
189,4.9
190,5.4
191,5.7
192,5.3
193,5.0
194,4.9
195,5.0
196,5.3
197,5.7
198,5.8
199,5.6
200,4.9
201,4.6
202,5.0
203,5.1
204,5.3
205,6.0
206,5.6
207,5.3
208,5.0
209,5.0
210,5.3
211,5.8
212,6.7
213,5.8
214,5.3
215,5.2
216,5.2
217,5.5
218,5.9
219,6.9
220,5.9
221,5.2
222,5.2
223,5.2
224,5.3
225,6.1
226,6.8
227,5.9
228,4.8
229,4.8
230,5.4
231,6.3
232,7.1
233,7.6
234,5.7
235,5.3
236,5.6
237,5.9
238,6.8
239,7.0
240,7.8
241,6.3
242,5.6
243,5.4
244,5.4
245,6.4
246,7.3
247,7.9
248,5.7
249,5.3
250,5.1
251,5.3
252,6.2
253,7.1
254,7.7
255,5.2
256,5.0
257,5.1
258,5.6
259,6.6
260,9.1
261,7.6
262,6.7
263,4.7
264,4.5
265,6.2
266,6.6
267,6.7
268,8.2
269,5.8
270,5.2
271,5.4
272,5.6
273,6.8
274,7.9
275,7.9
276,5.6
277,5.1
278,5.1
279,5.7
280,7.0
281,7.8
282,8.4
283,6.0
284,5.6
285,5.5
286,5.8
287,7.0
288,7.7
289,8.6
290,6.0
291,5.3
292,5.4
293,5.5
294,7.5
295,8.2
296,8.8
297,6.3
298,6.0
299,5.9
300,5.9
301,7.4
302,8.1
303,9.8
304,6.5
305,5.6
306,5.6
307,6.0
308,7.4
309,7.8
310,9.6
311,7.1
312,6.1
313,5.8
314,5.9
315,7.5
316,8.3
317,10.2
318,6.6
319,5.9
320,5.5
321,5.9
322,7.7
323,8.4
324,10.1
325,7.5
326,6.6
327,6.7
328,6.6
329,8.3
330,8.9
331,10.7
332,7.3
333,7.0
334,6.2
335,6.6
336,7.9
337,8.6
338,10.2
339,7.2
340,6.4
341,6.6
342,6.6
343,8.4
344,9.1
345,10.7
346,7.7
347,6.8
348,6.7
349,7.3
350,9.9
351,9.4
352,10.4
353,11.2
354,8.1
355,6.2
356,7.7
357,9.3
358,8.6
359,8.7
360,7.1
361,6.6
362,6.6
363,6.5
364,7.5
365,7.9
366,8.1
367,6.9
368,6.5
369,6.7
370,7.0
371,7.7
372,7.3
373,7.5
374,6.5
375,6.4
376,6.2
377,6.1
378,6.3
379,6.3
380,6.6
381,6.0
382,5.6
383,5.6
384,5.7
385,6.0
386,6.3
387,6.5
388,6.2
389,6.0
390,5.9
391,6.0
392,6.1
393,5.7
394,4.3
395,3.78
396,3.3
397,2.0
398,2.8
399,2.6
400,3.2
401,3.6
402,3.9
403,4.7
404,5.8
405,6.2
406,5.6
407,6.9
408,6.8
409,6.1
410,6.5
411,6.6
412,8.0
413,9.6
414,8.2
415,7.6
416,7.2
417,6.9
418,7.5
419,8.4
420,9.8
421,9.5
422,7.5
423,7.2
424,7.1
425,6.4
426,8.1
427,8.2
428,8.1
429,7.2
430,6.8
431,7.0
432,6.9
433,9.5
434,9.8
435,7.5
436,7.0
437,6.9
438,6.8
439,8.1
440,9.3
441,9.5
442,7.3
443,7.0
444,9.8
445,8.2
446,7.9
447,9.9
448,8.9
449,7.3
450,6.8
451,6.8
452,6.0
453,6.8
454,8.2
455,9.0
456,7.3
457,7.1
458,7.4
459,7.2
460,8.1
461,7.8
462,8.5
463,6.9
464,6.8
465,6.7
466,7.1
467,7.9
468,10.0
469,9.8
470,8.7
471,11.6
472,8.1
473,6.9
474,7.9
475,8.4
476,8.4
477,7.2
478,6.9
479,6.7
480,6.7
481,8.2
482,9.1
483,7.3
484,6.5
485,6.6
486,6.7
487,8.3
488,8.1
489,9.4
490,7.1
491,6.8
492,6.9
493,7.0
494,8.4
495,8.9
496,9.5
497,7.4
498,6.8
499,7.0
500,6.9
501,8.8
502,8.9
503,9.2
504,7.5
505,7.0
506,7.5
507,7.4
508,8.3
509,9.0
510,7.7
511,7.3
512,7.3
513,7.5
514,9.3
515,8.7
516,8.3
517,9.5
518,8.4
519,7.4
520,8.1
521,7.9
522,8.3
523,7.8
524,7.0
525,7.8
526,7.6
527,8.1
528,8.4
529,7.9
530,8.0
531,7.4
532,7.3
533,7.6
534,7.9
535,7.5
536,7.7
537,8.0
538,7.5
539,7.7
540,7.3
541,7.5
542,7.7
543,7.7
544,7.2
545,6.9
546,6.7
547,7.0
548,6.7
549,7.1
550,7.3
551,6.7
552,6.6
553,6.4
554,7.0
555,6.9
556,7.5
557,7.1
558,6.8
559,7.0
560,6.8
561,7.3
562,7.6
563,7.0
564,7.1
565,6.9
566,7.2
567,6.9
568,7.8
569,7.6
570,7.1
571,7.2
572,6.9
573,8.1
574,5.9
575,6.8
576,8.3
577,7.5
578,7.5
579,7.5
580,7.8
581,7.5
582,8.8
583,7.5
584,7.4
585,7.52
586,8.85
587,9.71
588,10.49
589,8.36
590,7.75
591,7.85
592,9.11
593,10.53
594,11.27
595,8.25
596,7.57
597,7.47
598,7.32
599,8.71
600,9.19
601,9.98
602,7.83
603,6.75
604,6.79
605,7.37
606,10.37
607,11.05
608,10.99
609,13.31
610,8.42
611,7.71
612,7.47
613,8.62
614,9.26
615,13.09
616,10.59
617,9.12
618,8.74
619,7.85
620,9.85
621,13.4
622,7.72
623,7.69
624,7.77
625,9.4
626,10.86
627,11.3
628,8.25
629,7.71
630,7.75
631,7.81
632,10.08
633,11.06
634,11.92
635,8.58
636,7.58
637,7.49
638,7.58
639,9.89
640,11.08
641,12.14
642,8.45
643,7.49
644,7.82
645,7.96
646,11.05
647,12.55
648,12.43
649,8.28
650,7.42
651,8.04
652,10.65
653,10.95
654,11.72
655,8.81
656,8.44
657,7.95
658,8.01
659,10.12
660,10.11
661,11.46
662,8.61
663,7.99
664,8.56
665,8.71
666,10.9
667,11.58
668,12.35
669,9.77
670,8.53
671,8.84
672,8.94
673,11.48
674,11.38
675,12.76
676,9.91
677,8.97
678,8.11
