DAY,COUNTS
531,25.3
532,24.2
533,25.7
534,27.1
535,23.6
536,22.9
537,26.3
538,25.1
539,24.4
540,24.8
541,25.1
542,22.3
543,25.2
544,24.3
545,23.7
546,23.0
547,24.5
548,21.4
549,20.9
550,24.3
551,22.9
552,22.3
553,21.9
554,24.4
555,22.0
556,21.5
557,23.5
558,22.8
559,24.1
560,20.8
561,20.3
562,24.5
563,23.3
564,22.9
565,22.5
566,24.0
567,21.0
568,21.2
569,24.1
570,23.0
571,23.9
572,22.4
573,27.6
574,18.3
575,19.7
576,26.1
577,24.5
578,24.3
579,24.1
580,25.7
581,22.4
582,23.9
583,24.0
584,23.8
585,23.93
586,27.75
587,27.78
588,26.74
589,24.62
590,23.52
591,23.25
592,27.62
593,28.51
594,28.1
595,24.81
596,23.67
597,23.25
598,22.47
599,27.13
600,27.44
601,27.29
602,24.39
603,22.67
604,22.88
605,23.71
606,31.78
607,29.82
608,26.99
609,32.31
610,25.3
611,24.6
612,23.9
613,26.62
614,27.61
615,36.65
616,29.69
617,23.59
618,22.19
619,21.35
620,27.63
621,33.52
622,24.28
623,24.14
624,23.88
625,28.79
626,30.72
627,29.6
628,25.15
629,24.36
630,24.32
631,24.65
632,30.71
633,31.43
634,30.73
635,25.82
636,24.3
637,24.03
638,24.01
639,30.36
640,31.18
641,31.2
642,25.3
643,23.91
644,24.36
645,24.55
646,32.63
647,35.71
648,31.66
649,26.05
650,24.9
651,25.98
652,32.81
653,30.98
654,30.72
655,26.78
656,26.19
657,25.21
658,25.45
659,31.12
660,29.35
661,31.91
662,27.43
663,26.48
664,27.6
665,28.42
666,33.63
667,35.17
668,34.09
669,29.82
670,27.41
671,28.26
672,28.15
673,35.05
674,33.38
675,33.51
676,29.12
677,28.58
678,26.16
679,34.27
680,34.27
681,32.74
682,29.42
683,28.16
684,28.47
685,27.91
686,33.82
687,33.33
688,34.1
689,29.05
690,28.69
691,27.3
692,28.06
693,33.74
694,32.23
695,32.55
696,30.99
697,29.68
698,29.19
699,27.75
700,31.76
701,37.36
702,33.08
703,31.78
704,35.27
705,28.36
706,25.85
707,29.14
708,26.46
709,25.39
710,27.38
711,26.98
712,27.85
713,29.35
714,32.14
715,27.78
716,25.51
717,28.04
718,26.86
719,27.9
720,27.33
721,28.73
722,25.42
723,23.61
724,26.83
725,26.09
726,25.98
727,25.7
728,26.85
729,24.84
730,22.98
731,26.15
732,24.59
733,23.17
734,21.97
735,19.53
736,14.8
737,11.06
738,5.51
739,7.31
740,7.32
741,8.43
742,8.86
743,11.66
744,18.56
745,23.99
746,25.04
747,28.24
748,34.67
749,30.97
750,24.92
751,23.23
752,27.48
753,27.73
754,29.89
